update,env_steps,train_return_mean,train_return_std,policy_loss,entropy,entropy_beta,value_loss,baseline_value,eval_return_mean,eval_return_std,experiment,seed,steps_to_475,steps_to_495
0,196,19.6,8.754427451295715,0.0091049177572131,0.6887253522872925,0.0,0.0,,9.2,0.4,vpg,0,58202.0,58202.0
1,377,18.1,6.744627491566899,0.0039546079933643,0.6897912621498108,0.0,0.0,,,,vpg,0,58202.0,58202.0
2,645,26.8,12.139192724394816,-0.0009746925206854,0.6900079250335693,0.0,0.0,,,,vpg,0,58202.0,58202.0
3,924,27.9,9.364293886887577,-0.0094361379742622,0.6902067065238953,0.0,0.0,,,,vpg,0,58202.0,58202.0
4,1099,17.5,5.953990258641679,-0.0049689975567162,0.6911678314208984,0.0,0.0,,,,vpg,0,58202.0,58202.0
5,1324,22.5,11.28937553631732,-0.0042423256672918,0.6906654834747314,0.0,0.0,,11.7,1.2688577540449522,vpg,0,58202.0,58202.0
6,1516,19.2,5.418486873657627,-0.0072069340385496,0.6906647682189941,0.0,0.0,,,,vpg,0,58202.0,58202.0
7,1792,27.6,17.53396703544295,-0.0014638162683695,0.6901549100875854,0.0,0.0,,,,vpg,0,58202.0,58202.0
8,2041,24.9,8.94930164873215,-0.0035127066075801,0.6882585883140564,0.0,0.0,,,,vpg,0,58202.0,58202.0
9,2286,24.5,15.4483008774428,-0.0080189574509859,0.6891993880271912,0.0,0.0,,,,vpg,0,58202.0,58202.0
10,2536,25.0,10.099504938362076,-0.0098601626232266,0.6891732215881348,0.0,0.0,,21.9,4.205948168962618,vpg,0,58202.0,58202.0
11,2735,19.9,6.640030120413612,0.0022440459579229,0.6873852014541626,0.0,0.0,,,,vpg,0,58202.0,58202.0
12,2967,23.2,7.794870107962031,0.0020334916189312,0.6890901923179626,0.0,0.0,,,,vpg,0,58202.0,58202.0
13,3147,18.0,6.572670690061994,-0.006233274936676,0.6862907409667969,0.0,0.0,,,,vpg,0,58202.0,58202.0
14,3406,25.9,12.739309243440164,-0.0068905730731785,0.6871124505996704,0.0,0.0,,,,vpg,0,58202.0,58202.0
15,3708,30.2,15.184202316881844,-0.0138695035129785,0.6874960660934448,0.0,0.0,,39.1,11.00409014866745,vpg,0,58202.0,58202.0
16,3936,22.8,11.948221624995076,-0.0142175732180476,0.6860837340354919,0.0,0.0,,,,vpg,0,58202.0,58202.0
17,4181,24.5,13.39589489358587,-0.0188154317438602,0.684963047504425,0.0,0.0,,,,vpg,0,58202.0,58202.0
18,4520,33.9,16.495150802584376,-0.0249767526984214,0.6848900318145752,0.0,0.0,,,,vpg,0,58202.0,58202.0
19,4787,26.7,6.8854919940408035,-0.0203666146844625,0.6827014088630676,0.0,0.0,,,,vpg,0,58202.0,58202.0
20,5089,30.2,15.632018423735303,-0.0082392301410436,0.6833857893943787,0.0,0.0,,52.6,27.810789273229915,vpg,0,58202.0,58202.0
21,5416,32.7,21.387145672108748,-0.0075643020682036,0.6818270087242126,0.0,0.0,,,,vpg,0,58202.0,58202.0
22,5701,28.5,16.560495161679196,-0.0072690965607762,0.6835078001022339,0.0,0.0,,,,vpg,0,58202.0,58202.0
23,6074,37.3,15.862219264655243,-0.0047103962861001,0.682400643825531,0.0,0.0,,,,vpg,0,58202.0,58202.0
