update,env_steps,train_return_mean,train_return_std,policy_loss,entropy,entropy_beta,value_loss,baseline_value,eval_return_mean,eval_return_std
0,166,16.6,5.5533773507659285,-0.9330417513847351,0.6917528510093689,0.0,0.0,16.6,31.4,2.727636339397171
1,432,26.6,11.655041827466773,-0.5084404349327087,0.6919196844100952,0.0,0.0,21.6,nan,nan
2,603,17.1,6.876772498781678,-1.0917613506317139,0.691178023815155,0.0,0.0,20.1,nan,nan
3,928,32.5,30.259709185648166,0.03278788551688194,0.6911644339561462,0.0,0.0,23.2,nan,nan
4,1133,20.5,9.562949335848225,-0.936333954334259,0.6903190612792969,0.0,0.0,22.66,nan,nan
5,1404,27.1,11.995415791042843,-0.606550395488739,0.6899258494377136,0.0,0.0,23.4,68.7,17.349639765712716
6,1643,23.9,9.924212815130478,-0.8487161993980408,0.6889171004295349,0.0,0.0,23.47142857142857,nan,nan
7,1867,22.4,6.590902821313633,-1.1643956899642944,0.6888455152511597,0.0,0.0,23.3375,nan,nan
8,2227,36.0,19.036806454865268,-0.2559610605239868,0.6897344589233398,0.0,0.0,24.744444444444444,nan,nan
9,2464,23.7,9.66488489326179,-0.9443378448486328,0.6867236495018005,0.0,0.0,24.64,nan,nan
10,2740,27.6,21.317598363793234,-0.3026726543903351,0.6871281862258911,0.0,0.0,24.90909090909091,62.4,15.107613974417005
11,3052,31.2,18.813824704190264,-0.3719644248485565,0.6880219578742981,0.0,0.0,25.433333333333334,nan,nan
12,3355,30.3,16.82884428592766,-0.48009467124938965,0.6860594153404236,0.0,0.0,25.807692307692307,nan,nan
13,3701,34.6,24.55687276507333,-0.21458788216114044,0.6842067241668701,0.0,0.0,26.435714285714287,nan,nan
14,3922,22.1,7.764663547121666,-1.3113718032836914,0.6842168569564819,0.0,0.0,26.14666666666667,nan,nan
15,4159,23.7,8.978307190111062,-1.1622684001922607,0.6826338768005371,0.0,0.0,25.99375,70.9,19.02340663498523
16,4504,34.5,15.945218719101975,-0.48192137479782104,0.6829280853271484,0.0,0.0,26.49411764705882,nan,nan
17,4809,30.5,9.790301323248432,-0.8443073034286499,0.6812875866889954,0.0,0.0,26.716666666666665,nan,nan
18,5039,23.0,18.62256695517565,-0.5086555480957031,0.679328203201294,0.0,0.0,26.521052631578947,nan,nan
19,5343,30.4,16.16910634512619,-0.5625901222229004,0.6801095008850098,0.0,0.0,26.715,nan,nan
20,5746,40.3,22.063771209836275,-0.25307509303092957,0.6827622056007385,0.0,0.0,27.36190476190476,85.6,15.454449197561198
21,5987,24.1,9.7205966895042,-1.1591875553131104,0.6770597100257874,0.0,0.0,27.213636363636365,nan,nan
22,6395,40.8,16.079800993793423,-0.40230485796928406,0.6808986067771912,0.0,0.0,27.804347826086957,nan,nan
23,6658,26.3,18.03357978882729,-0.604687511920929,0.6748274564743042,0.0,0.0,27.741666666666667,nan,nan
24,7009,35.1,15.49483785007123,-0.5667483806610107,0.6780306100845337,0.0,0.0,28.036,nan,nan
25,7345,33.6,17.0598944897089,-0.5512691140174866,0.6751124262809753,0.0,0.0,28.25,107.6,52.92674182301419
26,7660,31.5,21.574290254838047,-0.4388516843318939,0.673828125,0.0,0.0,28.37037037037037,nan,nan
27,8043,38.3,13.115258289488622,-0.6203881502151489,0.6769726872444153,0.0,0.0,28.725,nan,nan
28,8321,27.8,8.133879763065101,-1.2079460620880127,0.6708360910415649,0.0,0.0,28.693103448275863,nan,nan
29,8757,43.6,30.676375274794122,-0.13373155891895294,0.677413821220398,0.0,0.0,29.19,nan,nan
30,9163,40.6,17.511139311878026,-0.47703009843826294,0.6757987141609192,0.0,0.0,29.558064516129033,73.8,19.943921379708655
31,9466,30.3,20.38160935745752,-0.5446712374687195,0.6670317649841309,0.0,0.0,29.58125,nan,nan
32,9937,47.1,21.723029254687294,-0.30024975538253784,0.6684545874595642,0.0,0.0,30.112121212121213,nan,nan
33,10258,32.1,17.461099621730586,-0.6737629175186157,0.6662933230400085,0.0,0.0,30.17058823529412,nan,nan
34,10616,35.8,10.457533169921097,-0.8412721157073975,0.6689993143081665,0.0,0.0,30.33142857142857,nan,nan
35,10978,36.2,17.365483005087995,-0.6000309586524963,0.6650143265724182,0.0,0.0,30.494444444444444,72.4,19.698730923589974
36,11370,39.2,23.103246525109842,-0.4167327880859375,0.6645544171333313,0.0,0.0,30.72972972972973,nan,nan
37,11653,28.3,14.724469430169632,-0.8667519092559814,0.6596217155456543,0.0,0.0,30.66578947368421,nan,nan
38,12056,40.3,12.657408897558772,-0.6980134844779968,0.6619934439659119,0.0,0.0,30.912820512820513,nan,nan
39,12520,46.4,17.83367600916872,-0.4275403618812561,0.6658390164375305,0.0,0.0,31.3,nan,nan
40,12963,44.3,27.074157419945685,-0.29835906624794006,0.6567599177360535,0.0,0.0,31.617073170731707,73.9,21.68155898453799
41,13470,50.7,24.228289250378367,-0.2735758423805237,0.6663695573806763,0.0,0.0,32.07142857142857,nan,nan
