update,env_steps,train_return_mean,train_return_std,policy_loss,entropy,entropy_beta,value_loss,baseline_value,eval_return_mean,eval_return_std
0,166,16.6,5.5533773507659285,3.7623984813690186,0.6917528510093689,0.0,0.0,16.6,53.5,18.1121506177483
1,432,26.6,11.655041827466773,7.862524509429932,0.6919056177139282,0.0,0.0,26.600000000000005,nan,nan
2,670,23.8,8.772684879784524,5.994978427886963,0.6914276480674744,0.0,0.0,23.8,nan,nan
3,964,29.4,16.782133356638543,11.337881088256836,0.6912002563476562,0.0,0.0,29.4,nan,nan
4,1137,17.3,10.602358228243375,7.25463342666626,0.6889999508857727,0.0,0.0,17.3,nan,nan
5,1404,26.7,14.028898745090435,9.428380012512207,0.6894949674606323,0.0,0.0,26.7,53.9,19.730433345469123
6,1738,33.4,19.163506985935534,13.21660041809082,0.6886120438575745,0.0,0.0,33.4,nan,nan
7,1952,21.4,12.870120434556934,8.649374008178711,0.6882149577140808,0.0,0.0,21.4,nan,nan
8,2241,28.9,12.0867696263311,8.02856159210205,0.6896592378616333,0.0,0.0,28.9,nan,nan
9,2419,17.8,5.509990925582364,3.646714687347412,0.6844055652618408,0.0,0.0,17.8,nan,nan
10,2649,23.0,9.757048734120374,6.327937126159668,0.6874178051948547,0.0,0.0,23.0,48.5,15.506450270774417
11,2994,34.5,22.721135535003526,14.993847846984863,0.6868658661842346,0.0,0.0,34.50000000000001,nan,nan
12,3213,21.9,5.872818744010409,3.8258767127990723,0.6853389739990234,0.0,0.0,21.9,nan,nan
13,3548,33.5,18.35892153695309,12.026485443115234,0.6857641935348511,0.0,0.0,33.5,nan,nan
14,3954,40.6,23.757946039167614,15.549211502075195,0.6857991218566895,0.0,0.0,40.6,nan,nan
15,4267,31.3,31.423080689200415,20.860536575317383,0.6818018555641174,0.0,0.0,31.300000000000004,65.9,14.895972610071489
16,4663,39.6,22.209007181771995,14.880971908569336,0.6782249808311462,0.0,0.0,39.6,nan,nan
17,5044,38.1,33.8834767991716,22.213579177856445,0.6814243793487549,0.0,0.0,38.1,nan,nan
18,5374,33.0,9.715966241192895,6.396994590759277,0.6823508739471436,0.0,0.0,33.00000000000001,nan,nan
19,5642,26.8,14.147791347061915,9.161012649536133,0.679604172706604,0.0,0.0,26.8,nan,nan
20,5992,35.0,24.273442277518036,15.986572265625,0.6766276359558105,0.0,0.0,35.0,106.8,52.37327562793834
21,6255,26.3,9.571311299921238,5.940556049346924,0.6761114001274109,0.0,0.0,26.3,nan,nan
22,6514,25.9,9.679359482941006,6.891136169433594,0.6715860366821289,0.0,0.0,25.9,nan,nan
23,6820,30.6,13.857849761056006,8.916959762573242,0.6733865141868591,0.0,0.0,30.6,nan,nan
24,7139,31.9,9.741149829460586,6.316472053527832,0.6761276125907898,0.0,0.0,31.9,nan,nan
25,7347,20.8,3.487119154832539,1.9202255010604858,0.6646357178688049,0.0,0.0,20.8,69.7,20.371794226331662
26,7903,55.6,28.92472990366548,19.49374771118164,0.6696792244911194,0.0,0.0,55.6,nan,nan
27,8198,29.5,18.440444680104655,11.686230659484863,0.6675623059272766,0.0,0.0,29.5,nan,nan
28,8593,39.5,17.206103568210903,10.796298027038574,0.6722657680511475,0.0,0.0,39.5,nan,nan
29,8992,39.9,23.28712090405338,14.759363174438477,0.6713411211967468,0.0,0.0,39.9,nan,nan
30,9375,38.3,18.46645607581487,12.661163330078125,0.6670874953269958,0.0,0.0,38.3,64.9,21.130309983528402
31,9691,31.6,22.843817544359784,14.556017875671387,0.6614714860916138,0.0,0.0,31.599999999999994,nan,nan
32,9996,30.5,12.491997438360288,7.696507930755615,0.6634182929992676,0.0,0.0,30.5,nan,nan
33,10297,30.1,12.825365491868059,7.666160583496094,0.653083860874176,0.0,0.0,30.1,nan,nan
34,10706,40.9,19.211715175902437,12.350361824035645,0.665844738483429,0.0,0.0,40.9,nan,nan
35,11099,39.3,25.23509461048244,16.933935165405273,0.6537458300590515,0.0,0.0,39.3,73.2,45.76636319394409
36,11446,34.7,19.84968513604183,12.850088119506836,0.6564094424247742,0.0,0.0,34.7,nan,nan
37,11761,31.5,11.621101496846158,7.131566524505615,0.6517053246498108,0.0,0.0,31.5,nan,nan
38,12090,32.9,13.830762813380902,8.925431251525879,0.6558337807655334,0.0,0.0,32.9,nan,nan
39,12526,43.6,21.471842026244513,13.491290092468262,0.659156084060669,0.0,0.0,43.6,nan,nan
40,12952,42.6,29.340074982862607,18.854290008544922,0.6543028950691223,0.0,0.0,42.599999999999994,70.3,33.09395715232616
41,13404,45.2,14.851262572589578,8.940320014953613,0.6656890511512756,0.0,0.0,45.2,nan,nan
42,13716,31.2,19.14575671003891,11.743255615234375,0.6457213163375854,0.0,0.0,31.2,nan,nan
43,14065,34.9,12.926329718833571,8.453971862792969,0.6499254107475281,0.0,0.0,34.9,nan,nan
44,14539,47.4,24.17933001553186,16.152761459350586,0.6603829860687256,0.0,0.0,47.400000000000006,nan,nan
45,15022,48.3,30.893526830065873,18.717466354370117,0.6550407409667969,0.0,0.0,48.3,64.0,20.688160865577203
46,15438,41.6,27.939935576160515,17.711950302124023,0.6487035155296326,0.0,0.0,41.6,nan,nan
47,15877,43.9,27.1346641770264,17.24778938293457,0.6503944396972656,0.0,0.0,43.9,nan,nan
48,16286,40.9,32.66940464716184,20.454387664794922,0.6502382159233093,0.0,0.0,40.900000000000006,nan,nan
49,16601,31.5,20.274368054269903,12.359281539916992,0.6451927423477173,0.0,0.0,31.499999999999993,nan,nan
50,17087,48.6,28.104092228712883,16.9050350189209,0.6538033485412598,0.0,0.0,48.6,68.8,12.294714311442947
51,17413,32.6,16.01998751560063,9.483531951904297,0.6448767781257629,0.0,0.0,32.6,nan,nan
52,17859,44.6,34.72520698282445,21.960716247558594,0.648792564868927,0.0,0.0,44.6,nan,nan
53,18389,53.0,32.6404656829525,20.623092651367188,0.6421757340431213,0.0,0.0,53.0,nan,nan
54,18896,50.7,35.57260181656664,21.78594207763672,0.6449189782142639,0.0,0.0,50.7,nan,nan
55,19416,52.0,26.404545063303022,16.346023559570312,0.648316502571106,0.0,0.0,52.0,93.3,30.489506391543962
56,19902,48.6,20.115665537088255,12.458793640136719,0.6473829746246338,0.0,0.0,48.6,nan,nan
57,20370,46.8,14.062716664997557,8.396209716796875,0.6469919085502625,0.0,0.0,46.800000000000004,nan,nan
58,20902,53.2,20.01899098356358,12.008913040161133,0.6425989866256714,0.0,0.0,53.2,nan,nan
59,21473,57.1,34.30583040825568,21.348350524902344,0.6427531838417053,0.0,0.0,57.1,nan,nan
60,21927,45.4,19.1373979422491,12.061850547790527,0.6403244137763977,0.0,0.0,45.39999999999999,110.6,37.90567239873209
61,22489,56.2,30.73044093403152,19.087421417236328,0.6429435014724731,0.0,0.0,56.20000000000001,nan,nan
62,22898,40.9,11.031319050775387,6.128874778747559,0.6393815279006958,0.0,0.0,40.89999999999999,nan,nan
63,23482,58.4,26.42801543816713,17.112394332885742,0.6382465958595276,0.0,0.0,58.39999999999999,nan,nan
64,24126,64.4,41.28001937984041,25.023019790649414,0.640121340751648,0.0,0.0,64.4,nan,nan
65,24628,50.2,23.591523901605,14.968838691711426,0.6389850378036499,0.0,0.0,50.2,132.8,63.51818637209347
66,25031,40.3,17.697739968707868,10.5986328125,0.6292938590049744,0.0,0.0,40.300000000000004,nan,nan
67,25679,64.8,49.28042207611457,32.065731048583984,0.6358345746994019,0.0,0.0,64.80000000000001,nan,nan
68,26359,68.0,48.00208328812407,29.3040714263916,0.6390677690505981,0.0,0.0,68.0,nan,nan
69,26714,35.5,12.224974437601086,6.923271179199219,0.6352131366729736,0.0,0.0,35.5,nan,nan
70,27337,62.3,27.21782504168913,16.994590759277344,0.6318762302398682,0.0,0.0,62.30000000000001,85.5,21.541819793137254
71,27839,50.2,24.18594633252956,14.75757122039795,0.6310264468193054,0.0,0.0,50.2,nan,nan
72,28461,62.2,20.643643089338664,12.716794967651367,0.6383476853370667,0.0,0.0,62.2,nan,nan
73,29076,61.5,31.903761533712604,19.07244110107422,0.6317148804664612,0.0,0.0,61.499999999999986,nan,nan
74,29559,48.3,11.79025020938911,6.6744794845581055,0.6273851990699768,0.0,0.0,48.3,nan,nan
75,30164,60.5,32.668792447839266,19.860652923583984,0.6353449821472168,0.0,0.0,60.5,83.9,18.234308322500198
76,30775,61.1,25.703890756070372,16.059228897094727,0.6224952340126038,0.0,0.0,61.1,nan,nan
77,31329,55.4,19.980990966416055,12.418976783752441,0.6259660124778748,0.0,0.0,55.4,nan,nan
78,31911,58.2,26.524705464905733,14.594759941101074,0.6276611089706421,0.0,0.0,58.2,nan,nan
